OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AUS_FHA_FO..INL,AUS,FHA,FO,INL,AUS_FHA_FO..INL = AUS_FH_FO*AUS_FHA_QP..INL/(AUS_FH_QP-AUS_FH_CR-AUS_FH_OU),Scalar TS,Numeric,3.944924067,3.479351695,3.255265517,3.586780087,3.560885254,3.844117707,4.154167274,4.43923913,4.586573976,4.228737178,4.323014293,4.326370418,4.355708613,4.388513756,4.420883886,4.486265997,4.546633366,4.606713563,4.705443006,4.814554821,4.913727456
AUS_FHA_FO..MAR,AUS,FHA,FO,MAR,AUS_FHA_FO..MAR = AUS_FH_FO*AUS_FHA_QP..MAR/(AUS_FH_QP-AUS_FH_CR-AUS_FH_OU),Scalar TS,Numeric,215.1614882,211.4968645,240.4564767,238.9948689,227.4669456,238.8395917,247.8668497,262.1220073,276.49475,279.422043,283.3420588,295.4709472,311.1495051,329.2284737,347.1961103,361.2716347,377.0839383,390.684779,403.1848814,415.136137,429.2365998
AUS_FHC_FO..INL,AUS,FHC,FO,INL,AUS_FHC_FO..INL = AUS_FH_FO*AUS_FHC_QP..INL/(AUS_FH_QP-AUS_FH_CR-AUS_FH_OU),Scalar TS,Numeric,4.083729314,3.186725618,3.313577069,3.533163614,3.847453093,3.011618294,2.679685824,3.445342418,2.924103521,3.135834007,3.080147684,3.07225629,3.079984472,3.087382717,3.09159245,3.115765157,3.13308681,3.146753739,4.237644401,5.357120743,6.480338042
AUS_FHC_FO..MAR,AUS,FHC,FO,MAR,"AUS_FHC_FO..MAR = AUS_FH_FO*(AUS_FHC_QP..MAR-AUS_FH_CR-AUS_FH_OU)/(AUS_FH_
QP-AUS_FH_CR-AUS_FH_OU)",Scalar TS,Numeric,397.9647637,400.7219271,369.3219209,380.3595068,389.3578631,345.4056616,368.0192733,363.4316927,372.9553208,366.642665,383.2341958,378.6787821,381.6079479,381.5096261,380.6575702,380.930101,377.432146,377.6257861,378.8691125,380.2355429,379.0259472
BRA_FHA_FO..INL,BRA,FHA,FO,INL,BRA_FHA_FO..INL = BRA_FH_FO*BRA_FHA_QP..INL/(BRA_FH_QP-BRA_FH_CR-BRA_FH_OU),Scalar TS,Numeric,481.4360958,555.2130445,607.4175831,672.3156572,772.0696291,736.0509418,773.3506374,790.1940254,771.5694468,768.9796883,833.0325248,864.1201529,892.5591646,922.625354,950.6822172,980.0949384,1009.204122,1042.137514,1077.662972,1113.94024,1152.892255
BRA_FHA_FO..MAR,BRA,FHA,FO,MAR,BRA_FHA_FO..MAR = BRA_FH_FO*BRA_FHA_QP..MAR/(BRA_FH_QP-BRA_FH_CR-BRA_FH_OU),Scalar TS,Numeric,125.6177093,139.7095174,156.7723315,143.7532281,141.1571467,138.5328556,122.0297195,124.4001838,111.7342702,104.8697413,121.0068724,125.1095791,133.4846076,139.8951955,147.5534779,153.8661813,159.6024617,165.5226526,168.9706582,173.9311659,178.0747901
BRA_FHC_FO..INL,BRA,FHC,FO,INL,BRA_FHC_FO..INL = BRA_FH_FO*BRA_FHC_QP..INL/(BRA_FH_QP-BRA_FH_CR-BRA_FH_OU),Scalar TS,Numeric,366.4383981,374.6577477,376.487874,408.1062944,381.7028622,342.5262914,341.3220272,345.7166111,328.3699818,305.3602422,317.5003993,317.1952831,319.4626413,321.5545257,323.5795608,325.6710924,326.4309741,327.1615067,329.2089999,330.8946454,332.3603398
BRA_FHC_FO..MAR,BRA,FHC,FO,MAR,"BRA_FHC_FO..MAR = BRA_FH_FO*(BRA_FHC_QP..MAR-BRA_FH_CR-BRA_FH_OU)/(BRA_FH_
QP-BRA_FH_CR-BRA_FH_OU)",Scalar TS,Numeric,712.9275378,739.4795624,777.2073244,729.5524653,728.066198,637.6423771,643.2579419,642.9213007,640.0404133,608.2935914,610.9395922,606.9276649,613.8684175,617.3329818,620.3826306,622.2907046,618.9849278,620.2172684,618.4532837,615.6962876,611.4290451
CAN_FHA_FO..INL,CAN,FHA,FO,INL,CAN_FHA_FO..INL = CAN_FH_FO*CAN_FHA_QP..INL/(CAN_FH_QP-CAN_FH_CR-CAN_FH_OU),Scalar TS,Numeric,6.31063933,5.962842685,6.205612534,6.857740534,7.538561017,7.299864203,8.754698402,8.860088053,9.135927846,8.605829422,9.007953073,9.025617752,9.281917047,9.456482228,9.73629628,9.886469054,10.1005993,10.29681087,10.52016343,10.67226294,10.91598632
CAN_FHA_FO..MAR,CAN,FHA,FO,MAR,CAN_FHA_FO..MAR = CAN_FH_FO*CAN_FHA_QP..MAR/(CAN_FH_QP-CAN_FH_CR-CAN_FH_OU),Scalar TS,Numeric,115.6652506,133.000379,148.2955068,135.5478059,113.7904194,142.0727202,151.8480999,150.8515425,153.4152786,151.1665252,158.9329268,159.9549289,164.8865849,168.431953,173.694573,176.6677524,180.7411485,184.5103233,188.6672049,191.3965628,196.0307924
