"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"portunus pelagicus","blue swimming crab","portunus","Crustaceans","portunidae","decapoda","import","Marine areas","Iron",0.403111111111111
"portunus trituberculatus","gazami crab","portunus","Crustaceans","portunidae","decapoda","import","Marine areas","Iron",1.26666666666667
"scylla serrata","indo-pacific swamp crab","scylla","Crustaceans","portunidae","decapoda","import","Marine areas","Iron",3.1725
"thenus orientalis","flathead lobster","thenus","Crustaceans","scyllaridae","decapoda","import","Marine areas","Iron",0.00056
"trachysalambria curvirostris","southern rough shrimp","trachysalambria","Crustaceans","penaeidae","decapoda","import","Marine areas","Iron",3.9
"acanthopagrus berda","goldsilk seabream","acanthopagrus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.47355
"acanthopagrus schlegelii","blackhead seabream","acanthopagrus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.75
"ammodytes personatus","pacific sandlance","ammodytes","Demersal Fish","ammodytidae","perciformes","import","Marine areas","Iron",5.78333333333333
"arctoscopus japonicus","japanese sandfish","arctoscopus","Demersal Fish","trichodontidae","perciformes","import","Marine areas","Iron",0.4
"argyrosomus regius","meagre","argyrosomus","Demersal Fish","sciaenidae","perciformes","import","Marine areas","Iron",0.538
"arripis trutta","australian salmon","arripis","Demersal Fish","arripidae","perciformes","import","Marine areas","Iron",1.95
"beryx decadactylus","alfonsino","beryx","Demersal Fish","berycidae","beryciformes","import","Marine areas","Iron",2
"brosme brosme","tusk(=cusk)","brosme","Demersal Fish","lotidae","gadiformes","import","Marine areas","Iron",0.83
"cephalopholis hemistiktos","yellowfin hind","cephalopholis","Demersal Fish","serranidae","perciformes","import","Marine areas","Iron",1.179
"cephalopholis miniata","coral hind","cephalopholis","Demersal Fish","serranidae","perciformes","import","Marine areas","Iron",0.4
"cyclopterus lumpus","lumpfish(=lumpsucker)","cyclopterus","Demersal Fish","cyclopteridae","scorpaeniformes","import","Marine areas","Iron",0.91
"diagramma pictum","painted sweetlips","diagramma","Demersal Fish","haemulidae","perciformes","import","Marine areas","Iron",0.63
"eleutheronema tetradactylum","fourfinger threadfin","eleutheronema","Demersal Fish","polynemidae","perciformes","import","Marine areas","Iron",1.07795
"epinephelus areolatus","areolate grouper","epinephelus","Demersal Fish","serranidae","perciformes","import","Marine areas","Iron",0.3
"epinephelus chlorostigma","brownspotted grouper","epinephelus","Demersal Fish","serranidae","perciformes","import","Marine areas","Iron",0.27304
"epinephelus coeruleopunctatus","whitespotted grouper","epinephelus","Demersal Fish","serranidae","perciformes","import","Marine areas","Iron",0.619
"epinephelus coioides","orange-spotted grouper","epinephelus","Demersal Fish","serranidae","perciformes","import","Marine areas","Iron",0.00026
"gerres oyena","common silver-biddy","gerres","Demersal Fish","gerreidae","perciformes","import","Marine areas","Iron",0.573
