mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
netuma thalassina,NA,NA,NA,NA,NA,NA,NA,1,7320677.163
trachysalambria curvirostris,trachysalambria curvirostris,trachysalambria curvirostris,trachysalambria,NA,NA,NA,NA,0,7198343.877
macruronus magellanicus,macruronus magellanicus,macruronus magellanicus,macruronus,NA,NA,NA,NA,0,6954319.815
chondrichthyes,chondrichthyes,NA,NA,NA,NA,chondrichthyes,NA,0,6925127.815
leiognathus,leiognathus,NA,leiognathus,NA,NA,NA,NA,0,6905903.052
mugil cephalus,mugil cephalus,mugil cephalus,mugil,NA,NA,NA,NA,0,6770481.928
cetengraulis mysticetus,cetengraulis,NA,cetengraulis,NA,NA,NA,NA,0,6702829.674
coryphaena hippurus,coryphaena hippurus,coryphaena hippurus,coryphaena,NA,NA,NA,NA,0,6677256.561
opisthonema libertate,opisthonema,NA,opisthonema,NA,NA,NA,NA,0,6453976.11
penaeus,penaeus,NA,penaeus,NA,NA,NA,NA,0,6367397.671
pseudotolithus,pseudotolithus,NA,pseudotolithus,NA,NA,NA,NA,0,6366509.509
micromesistius australis,micromesistius australis,micromesistius australis,micromesistius,NA,NA,NA,NA,0,6286697.234
sardinella maderensis,sardinella maderensis,sardinella maderensis,sardinella,NA,NA,NA,NA,0,6282842.047
mytilus edulis,mytilus edulis,mytilus edulis,mytilus,NA,NA,NA,NA,0,6263036.613
sergestidae,sergestidae,NA,NA,sergestidae,NA,NA,NA,0,6239282.117
merluccius bilinearis,merluccius,NA,merluccius,NA,NA,NA,NA,0,6186482.932
sardinella brasiliensis,sardinella brasiliensis,sardinella brasiliensis,sardinella,NA,NA,NA,NA,0,6149462.188
larimichthys crocea,larimichthys crocea,larimichthys crocea,larimichthys,NA,NA,NA,NA,0,6141814.008
micropogonias furnieri,micropogonias furnieri,micropogonias furnieri,micropogonias,NA,NA,NA,NA,0,6103669.174
sepia,sepia,NA,sepia,NA,NA,NA,NA,0,6087140.144
pomatomus saltatrix,pomatomus saltatrix,pomatomus saltatrix,pomatomus,NA,NA,NA,NA,0,6051732.042
megalaspis cordyla,megalaspis cordyla,megalaspis cordyla,megalaspis,NA,NA,NA,NA,0,6028206.012
callinectes sapidus,callinectes sapidus,callinectes sapidus,callinectes,NA,NA,NA,NA,0,6021749.393
sarda sarda,sarda,NA,sarda,NA,NA,NA,NA,0,5967698.02
serranidae,serranidae,NA,NA,serranidae,NA,NA,NA,0,5817427.289
rachycentron canadum,rachycentron canadum,rachycentron canadum,rachycentron,NA,NA,NA,NA,0,5809172.768
veneridae, veneridae, veneridae,NA,veneridae,NA,NA,NA,0,5710829.803
batoidea,NA,NA,NA,NA,NA,NA,NA,1,5699085.524
sphyraena,sphyraena,NA,sphyraena,NA,NA,NA,NA,0,5609056.988
lutjanus,lutjanus,NA,lutjanus,NA,NA,NA,NA,0,5546768.284
lophius vomerinus,lophius,NA,lophius,NA,NA,NA,NA,0,5522362.748
euphausia superba,euphausia superba,euphausia superba,euphausia,NA,NA,NA,NA,0,5448214.35
mullidae,mullidae,NA,NA,mullidae,NA,NA,NA,0,5446891.402
epinephelus,epinephelus,NA,epinephelus,NA,NA,NA,NA,0,5409761.999
stephanolepis cirrhifer,stephanolepis cirrhifer,stephanolepis cirrhifer,stephanolepis,NA,NA,NA,NA,0,5277544.393
selar crumenophthalmus,selar crumenophthalmus,selar crumenophthalmus,selar,NA,NA,NA,NA,0,5204100.348
caranx,caranx,NA,caranx,NA,NA,NA,NA,0,5192043.811
cynoscion,cynoscion,NA,cynoscion,NA,NA,NA,NA,0,5109825.082
paralithodes camtschaticus,paralithodes camtschaticus,paralithodes camtschaticus,paralithodes,NA,NA,NA,NA,0,5048290.363
sardinella lemuru,sardinella,NA,sardinella,NA,NA,NA,NA,0,5007161.914
lethrinidae,lethrinidae,NA,NA,lethrinidae,NA,NA,NA,0,4978943.224
scomberomorus guttatus,scomberomorus guttatus,scomberomorus guttatus,scomberomorus,NA,NA,NA,NA,0,4965917.448
osmeridae,osmeridae,NA,NA,osmeridae,NA,NA,NA,0,4938532.588
laemonema longipes,NA,NA,NA,NA,NA,NA,NA,1,4861062.76
arctica islandica,arctica islandica,arctica islandica,arctica,NA,NA,NA,NA,0,4803392.358
brachydeuterus auritus,brachydeuterus auritus,brachydeuterus auritus,brachydeuterus,NA,NA,NA,NA,0,4679328.805
parastromateus niger,parastromateus niger,parastromateus niger,parastromateus,NA,NA,NA,NA,0,4649687.758
engraulis mordax,engraulis mordax,engraulis mordax,engraulis,NA,NA,NA,NA,0,4649185.387
euthynnus affinis,euthynnus affinis,euthynnus affinis,euthynnus,NA,NA,NA,NA,0,4576038.255
limanda limanda,limanda,NA,limanda,NA,NA,NA,NA,0,4546104.615
pleurogrammus monopterygius,pleurogrammus monopterygius,pleurogrammus monopterygius,pleurogrammus,NA,NA,NA,NA,0,4499047.145
lates calcarifer,lates calcarifer,lates calcarifer,lates,NA,NA,NA,NA,0,4479117.127
crangon crangon,crangon,NA,crangon,NA,NA,NA,NA,0,4464416.883
octopus vulgaris,octopus vulgaris,octopus vulgaris,octopus,NA,NA,NA,NA,0,4457526.622
pampus argenteus,pampus argenteus,pampus argenteus,pampus,NA,NA,NA,NA,0,4450880.816
homarus americanus,homarus americanus,homarus americanus,homarus,NA,NA,NA,NA,0,4430900.272
portunidae,portunidae,NA,NA,portunidae,NA,NA,NA,0,4391082.255
carcharhinidae,carcharhinidae,NA,NA,carcharhinidae,NA,NA,NA,0,4347723.901
gobiidae,gobiidae,NA,NA,gobiidae,NA,NA,NA,0,4346628.666
saurida tumbil,saurida tumbil,saurida tumbil,saurida,NA,NA,NA,NA,0,4341118.985
octopodidae,octopodidae,NA,NA,octopodidae,NA,NA,NA,0,4336395.192
squillidae,squillidae,NA,NA,squillidae,NA,NA,NA,0,4246096.038
boops boops,boops,NA,boops,NA,NA,NA,NA,0,4101668.856
ommastrephidae,ommastrephidae,NA,NA,ommastrephidae,NA,NA,NA,0,4073481.967
carcharhinus,carcharhinus,NA,carcharhinus,NA,NA,NA,NA,0,3976461.776
scomberomorus niphonius,scomberomorus niphonius,scomberomorus niphonius,scomberomorus,NA,NA,NA,NA,0,3969993.793
chionoecetes,chionoecetes,NA,chionoecetes,NA,NA,NA,NA,0,3964654.762
perna viridis,perna viridis,perna viridis,perna,NA,NA,NA,NA,0,3960303.958
auxis thazard,auxis thazard,auxis thazard,auxis,NA,NA,NA,NA,0,3957955.342
metapenaeus,metapenaeus,NA,metapenaeus,NA,NA,NA,NA,0,3920092.963
chionoecetes opilio,chionoecetes opilio,chionoecetes opilio,chionoecetes,NA,NA,NA,NA,0,3898349.758
acetes,acetes,NA,acetes,NA,NA,NA,NA,0,3880505.844
chirocentrus dorab,chirocentrus dorab,chirocentrus dorab,chirocentrus,NA,NA,NA,NA,0,3859362.863
trachurus mediterraneus,trachurus mediterraneus,trachurus mediterraneus,trachurus,NA,NA,NA,NA,0,3856050.359
sebastes norvegicus,sebastes,NA,sebastes,NA,NA,NA,NA,0,3841076.745
seriola lalandi,seriola lalandi,seriola lalandi,seriola,NA,NA,NA,NA,0,3797848.456
squalus acanthias,squalus acanthias,squalus acanthias,squalus,NA,NA,NA,NA,0,3727784.439
brachyura,NA,NA,NA,NA,NA,NA,NA,1,3697637.176
sebastes alutus,sebastes alutus,sebastes alutus,sebastes,NA,NA,NA,NA,0,3688170.838
nephrops norvegicus,nephrops norvegicus,nephrops norvegicus,nephrops,NA,NA,NA,NA,0,3676182.452
saurida,saurida,NA,saurida,NA,NA,NA,NA,0,3672893.671
clupeonella cultriventris,clupeonella cultriventris,clupeonella cultriventris,clupeonella,NA,NA,NA,NA,0,3669433.097
hemiramphus,hemiramphus,NA,hemiramphus,NA,NA,NA,NA,0,3593254.673
stromateidae,stromateidae,NA,NA,stromateidae,NA,NA,NA,0,3529560.374
limanda aspera,limanda aspera,limanda aspera,limanda,NA,NA,NA,NA,0,3498517.654
sarda chiliensis,sarda chiliensis,sarda chiliensis,sarda,NA,NA,NA,NA,0,3415328.993
malacostraca,malacostraca,NA,NA,NA,NA,malacostraca,NA,0,3391295.975
lycodes,NA,NA,NA,NA,NA,NA,NA,1,3385938.781
sphyraenidae,sphyraenidae,NA,NA,sphyraenidae,NA,NA,NA,0,3379261.882
mugil,mugil,NA,mugil,NA,NA,NA,NA,0,3371023.158
prionace glauca,prionace glauca,prionace glauca,prionace,NA,NA,NA,NA,0,3359508.989
hippoglossus stenolepis,hippoglossus stenolepis,hippoglossus stenolepis,hippoglossus,NA,NA,NA,NA,0,3356455.712
